id,name_th,name_en,province_id
1,ป้อมปราบศัตรูพ่าย,ป้อมปราบศัตรูพ่าย,10
2,สัมพันธวงศ์,สัมพันธวงศ์,10
3,คลองเตย,คลองเตย,10
4,วัฒนา,วัฒนา,10
5,บางคอแหลม,บางคอแหลม,10
6,ยานนาวา,ยานนาวา,10
7,สาทร,สาทร,10
8,ทุ่งครุ,ทุ่งครุ,10
9,ราษฎร์บูรณะ,ราษฎร์บูรณะ,10
10,จอมทอง,จอมทอง,10
11,บางขุนเทียน,บางขุนเทียน,10
12,บางบอน,บางบอน,10
13,บางแค,บางแค,10
14,ภาษีเจริญ,ภาษีเจริญ,10
15,หนองแขม,หนองแขม,10
16,ตลิ่งชัน,ตลิ่งชัน,10
17,ทวีวัฒนา,ทวีวัฒนา,10
18,พระนคร,พระนคร,10
19,ดอนเมือง,ดอนเมือง,10
20,หลักสี่,หลักสี่,10
21,บางเขน,บางเขน,10
22,สายไหม,สายไหม,10
23,คันนายาว,คันนายาว,10
24,บึงกุ่ม,บึงกุ่ม,10
25,ลาดพร้าว,ลาดพร้าว,10
26,บางกะปิ,บางกะปิ,10
27,สะพานสูง,สะพานสูง,10
28,ประเวศ,ประเวศ,10
29,สวนหลวง,สวนหลวง,10
30,บางนา,บางนา,10
31,พระโขนง,พระโขนง,10
32,ดุสิต,ดุสิต,10
33,วังทองหลาง,วังทองหลาง,10
34,ห้วยขวาง,ห้วยขวาง,10
35,ปทุมวัน,ปทุมวัน,10
36,ดินแดง,ดินแดง,10
37,พญาไท,พญาไท,10
38,ราชเทวี,ราชเทวี,10
39,บางรัก,บางรัก,10
40,คลองสามวา,คลองสามวา,10
41,มีนบุรี,มีนบุรี,10
42,ลาดกระบัง,ลาดกระบัง,10
43,หนองจอก,หนองจอก,10
44,คลองสาน,คลองสาน,10
45,ธนบุรี,ธนบุรี,10
46,บางกอกใหญ่,บางกอกใหญ่,10
47,บางกอกน้อย,บางกอกน้อย,10
48,บางพลัด,บางพลัด,10
