id,name_th,name_en,district_id,zipcode
1,คลองมหานาค,คลองมหานาค,1,10100
2,บ้านบาตร,บ้านบาตร,1,10100
3,ป้อมปราบ,ป้อมปราบ,1,10100
4,วัดเทพศิรินทร์,วัดเทพศิรินทร์,1,10100
5,วัดโสมนัส,วัดโสมนัส,1,10100
6,จักรวรรดิ์,จักรวรรดิ์,2,10100
7,ตลาดน้อย,ตลาดน้อย,2,10100
8,สัมพันธวงศ์,สัมพันธวงศ์,2,10100
9,คลองตัน,คลองตัน,3,10110
10,คลองเตย,คลองเตย,3,10110
11,พระโขนง,พระโขนง,3,10110
12,คลองตันเหนือ,คลองตันเหนือ,4,10110
13,คลองเตยเหนือ,คลองเตยเหนือ,4,10110
14,พระโขนงเหนือ,พระโขนงเหนือ,4,10110
15,บางคอแหลม,บางคอแหลม,5,10120
16,บางโคล่,บางโคล่,5,10120
17,วัดพระยาไกร,วัดพระยาไกร,5,10120
18,ช่องนนทรี,ช่องนนทรี,6,10120
19,บางโพงพาง,บางโพงพาง,6,10120
20,ทุ่งมหาเมฆ,ทุ่งมหาเมฆ,7,10120
21,ทุ่งวัดดอน,ทุ่งวัดดอน,7,10120
22,ยานนาวา,ยานนาวา,7,10120
23,ทุ่งครุ,ทุ่งครุ,8,10140
24,บางมด,บางมด,8,10140
25,บางปะกอก,บางปะกอก,9,10140
26,ราษฎร์บูรณะ,ราษฎร์บูรณะ,9,10140
27,จอมทอง,จอมทอง,10,10150
28,บางขุนเทียน,บางขุนเทียน,10,10150
29,บางค้อ,บางค้อ,10,10150
30,บางมด,บางมด,10,10150
31,ท่าข้าม,ท่าข้าม,11,10150
32,แสมดำ,แสมดำ,11,10150
33,บางบอน,บางบอน,12,10150
34,บางแค,บางแค,13,10160
35,บางแคเหนือ,บางแคเหนือ,13,10160
36,บางไผ่,บางไผ่,13,10160
37,หลักสอง,หลักสอง,13,10160
38,คลองขวาง,คลองขวาง,14,10160
39,คูหาสวรรค์,คูหาสวรรค์,14,10160
40,บางจาก,บางจาก,14,10160
41,บางด้วน,บางด้วน,14,10160
42,บางหว้า,บางหว้า,14,10160
43,บางแวก,บางแวก,14,10160
44,ปากคลองภาษีเจริญ,ปากคลองภาษีเจริญ,14,10160
45,หนองค้างพลู,หนองค้างพลู,15,10160
46,หนองแขม,หนองแขม,15,10160
47,คลองชักพระ,คลองชักพระ,16,10170
48,ฉิมพลี,ฉิมพลี,16,10170
49,ตลิ่งชัน,ตลิ่งชัน,16,10170
50,บางพรม,บางพรม,16,10170
51,บางระมาด,บางระมาด,16,10170
52,บางเชือกหนัง,บางเชือกหนัง,16,10170
53,ทวีวัฒนา,ทวีวัฒนา,17,10170
54,ศาลาธรรมสพน์,ศาลาธรรมสพน์,17,10170
55,ชนะสงคราม,ชนะสงคราม,18,10200
56,ตลาดยอด,ตลาดยอด,18,10200
57,บวรนิเวศ,บวรนิเวศ,18,10200
58,บางขุนพรหม,บางขุนพรหม,18,10200
59,บ้านพานถม,บ้านพานถม,18,10200
60,พระบรมมหาราชวัง,พระบรมมหาราชวัง,18,10200
61,วังบูรพาภิรมย์,วังบูรพาภิรมย์,18,10200
62,วัดราชบพิธ,วัดราชบพิธ,18,10200
